Sample1,C13CO2/Total1,Sample2,C13CO2/Total2,Sample3,C13CO2/Total3,Avg.Conc,Std.Dev,Time,Mineral_Type
ctrl1-2a.csv,0.077835655,ctrl2-2a.csv,0.068677522,ctrl3-2a.csv,0.05652224,6.7678%,1.0692%,5,Control
ctrl1-3.csv,0.086249164,ctrl2-3.csv,0.072680642,ctrl3-3.csv,0.065063668,7.4664%,1.0731%,8,Control
ctrl1-4View1.csv,0.183837303,ctrl2-4View2.csv,0.147369441,ctrl3-4View2.csv,0.076428537,13.5878%,5.4619%,12,Control
ctrl1-5.csv,0.477779806,ctrl2-5.csv,0.438540205,ctrl3-5.csv,0.101737031,33.9352%,20.6714%,15,Control
ctrl1-6.csv,0.559782609,ctrl2-6.csv,0.566197183,ctrl3-6.csv,0.280430397,46.8803%,16.3167%,19,Control
ctrl1-7.csv,0.567198178,ctrl2-7.csv,0.568848758,ctrl3-7.csv,0.527777778,55.4608%,2.3251%,22,Control
ctrl1-8View2.csv,0.553398058,ctrl2-8View1.csv,0.549883991,ctrl3-8View1.csv,0.573446328,55.8909%,1.2711%,26,Control
ctrl1-9.csv,0.547008547,ctrl2-9.csv,0.537604457,ctrl3-9.csv,0.570469799,55.1694%,1.6926%,29,Control
fhy1-2a.csv,0.038859644,fhy2-2a.csv,0.037297833,fhy3-2a.csv,0.070044602,4.8734%,1.8472%,5,Ferrihydrite
fhy1-3a0.csv,0.073646893,fhy2-3.csv,0.068004404,fhy3-3.csv,0.089321633,7.6991%,1.1045%,8,Ferrihydrite
fhy1-4View2.csv,0.094626168,fhy2-4View2.csv,0.088413753,fhy3-4,NaN,9.1520%,0.4393%,12,Ferrihydrite
fhy1-5.csv,0.156803184,fhy2-5.csv,0.173963324,fhy3-5.csv,0.198597546,17.6455%,2.1008%,15,Ferrihydrite
fhy1-6.csv,0.330494037,fhy2-6.csv,0.345779221,fhy3-6.csv,0.406119611,36.0798%,3.9987%,19,Ferrihydrite
fhy1-7.csv,0.425170068,fhy2-7.csv,0.433894231,fhy3-7.csv,0.477597712,44.5554%,2.8091%,22,Ferrihydrite
fhy1-8View2.csv,0.487804878,fhy2-8View2.csv,0.480144404,fhy3-8View2.csv,0.503616637,49.0522%,1.1970%,26,Ferrihydrite
fhy1-9.csv,0.520958084,fhy2-9.csv,0.506798517,fhy3-9.csv,0.520449898,51.6069%,0.8032%,29,Ferrihydrite
Goe1-2a.csv,0.039725058,goe2-2a.csv,0.059789937,goe3-2a.csv,0.034953513,4.4823%,1.3180%,5,Goethite
Goe1-3.csv,0.047590702,goe2-3.csv,0.06808464,goe3-3.csv,0.043062201,5.2913%,1.3333%,8,Goethite
Goe1-4View2.csv,0.099927731,goe2-4View2.csv,0.078219647,goe3-4View2.csv,0.05384412,7.7330%,2.3055%,12,Goethite
Goe1-5.csv,0.295174217,goe2-5.csv,0.170798427,goe3-5.csv,0.211804258,22.5926%,6.3379%,15,Goethite
goe1-6-2.csv,0.542682927,goe2-6a.csv,0.454987835,goe3-6.csv,0.519855596,50.5842%,4.5496%,19,Goethite
goe1-7.csv,0.552742616,goe2-7.csv,0.556851312,goe3-7.csv,0.556306306,55.5300%,0.2232%,22,Goethite
goe1-8View2.csv,0.542268041,goe2-8View2.csv,0.560493827,goe3-8View2.csv,0.545034642,54.9266%,0.9822%,26,Goethite
goe1-9.csv,0.532731377,goe2-9a.csv,0.5625,goe3-9.csv,0.544776119,54.6669%,1.4974%,29,Goethite
hem1-2a.csv,0.093295802,hem2-2a.csv,0.063905569,hem3-2a.csv,0.037040946,6.4747%,2.8137%,5,Hematite
hem1-3.csv,0.1119971,hem2-3.csv,0.070236694,hem3-3.csv,0.054502425,7.8912%,2.9713%,8,Hematite
hem1-4View2.csv,0.36753338,hem2-4View2.csv,0.129994087,hem3-4View2.csv,0.105490438,20.1006%,14.4736%,12,Hematite
hem1-5.csv,0.477351916,hem2-5.csv,0.34771701,hem3-5.csv,0.358868299,39.4646%,7.1842%,15,Hematite
hem1-6-2View1.csv,0.618453865,hem2-6.csv,0.498480243,hem3-6.csv,0.550898204,55.5944%,6.0146%,19,Hematite
hem1-7.csv,0.606936416,hem2-7.csv,0.506756757,hem3-7.csv,0.553398058,55.5697%,5.0129%,22,Hematite
hem1-8expView2.csv,0.578336557,hem2-8View2.csv,0.495391705,hem3-8View2.csv,0.526699029,53.3476%,4.1886%,26,Hematite
hem1-9.csv,0.574235808,hem2-9.csv,0.488491049,hem3-9.csv,0.52259887,52.8442%,4.3170%,29,Hematite
